2015 8 29 0 27 24     0.00 16933.70 44425.94 47543.82 21.10 
2015 8 29 0 27 32     0.00 16933.94 44426.18 47544.13 21.06 
2015 8 29 0 27 40     0.00 16933.70 44426.42 47544.26 21.04 
2015 8 29 0 27 48     0.00 16933.70 44426.42 47544.26 21.06 
2015 8 29 0 27 56     0.00 16933.46 44426.66 47544.40 21.08 
2015 8 29 0 28 4     0.00 16933.94 44426.90 47544.80 21.11 
2015 8 29 0 28 12     0.00 16933.70 44426.18 47544.04 21.07 
2015 8 29 0 28 20     0.00 16933.70 44426.90 47544.71 21.02 
2015 8 29 0 28 28     0.00 16933.70 44426.66 47544.49 21.00 
2015 8 29 0 28 36     0.00 16933.46 44427.62 47545.30 21.05 
2015 8 29 0 28 43     0.00 16933.22 44427.14 47544.76 21.07 
2015 8 29 0 28 51     0.00 16933.46 44427.38 47545.07 21.07 
2015 8 29 0 28 59     0.00 16932.98 44426.90 47544.45 21.10 
2015 8 29 0 29 7     0.00 16932.74 44427.38 47544.82 21.12 
2015 8 29 0 29 15     0.00 16933.22 44427.38 47544.99 21.11 
2015 8 29 0 29 23     0.00 16933.46 44427.38 47545.07 21.10 
2015 8 29 0 29 31     0.00 16933.46 44426.90 47544.62 21.12 
2015 8 29 0 29 39     0.00 16934.18 44427.85 47545.77 21.07 
2015 8 29 0 29 47     0.00 16933.46 44426.66 47544.40 21.07 
2015 8 29 0 29 55     0.00 16933.70 44426.42 47544.26 21.09 
2015 8 29 0 30 3     0.00 16933.46 44427.14 47544.85 21.08 
2015 8 29 0 30 10     0.00 16933.94 44427.38 47545.24 21.05 
2015 8 29 0 30 18     0.00 16934.18 44427.14 47545.10 21.02 
2015 8 29 0 30 26     0.00 16933.46 44427.38 47545.07 21.03 
2015 8 29 0 30 34     0.00 16933.46 44426.18 47543.95 21.06 
2015 8 29 0 30 42     0.00 16933.70 44426.66 47544.49 21.06 
2015 8 29 0 30 50     0.00 16933.70 44426.90 47544.71 21.05 
2015 8 29 0 30 58     0.00 16933.46 44426.66 47544.40 21.04 
2015 8 29 0 31 6     0.00 16933.70 44426.90 47544.71 21.03 
2015 8 29 0 31 14     0.00 16933.70 44427.38 47545.16 21.04 
2015 8 29 0 31 22     0.00 16933.22 44427.14 47544.76 21.06 
2015 8 29 0 31 29     0.00 16932.98 44426.66 47544.23 21.05 
2015 8 29 0 31 37     0.00 16932.74 44426.42 47543.92 21.05 
2015 8 29 0 31 45     0.00 16933.70 44426.18 47544.04 21.05 
2015 8 29 0 31 53     0.00 16933.46 44426.18 47543.95 21.09 
2015 8 29 0 32 1     0.00 16932.26 44425.46 47542.86 21.09 
2015 8 29 0 32 9     0.00 16932.50 44425.94 47543.39 21.12 
2015 8 29 0 32 17     0.00 16933.22 44424.75 47542.53 21.09 
2015 8 29 0 32 25     0.00 16932.98 44425.22 47542.89 21.09 
2015 8 29 0 32 33     0.00 16932.98 44425.70 47543.34 21.05 
2015 8 29 0 32 41     0.00 16933.46 44425.22 47543.06 21.05 
2015 8 29 0 32 49     0.00 16932.98 44425.22 47542.89 21.08 
2015 8 29 0 32 56     0.00 16932.50 44424.75 47542.27 21.04 
2015 8 29 0 33 4     0.00 16933.22 44424.51 47542.31 21.05 
2015 8 29 0 33 12     0.00 16933.22 44425.22 47542.98 21.04 
2015 8 29 0 33 20     0.00 16933.46 44425.70 47543.51 21.00 
2015 8 29 0 33 28     0.00 16933.46 44424.99 47542.84 21.02 
2015 8 29 0 33 36     0.00 16933.22 44425.22 47542.98 21.04 
2015 8 29 0 33 44     0.00 16933.22 44425.22 47542.98 21.00 
2015 8 29 0 33 52     0.00 16932.98 44425.46 47543.11 21.06 
2015 8 29 0 34 0     0.00 16932.98 44424.99 47542.67 21.06 
2015 8 29 0 34 8     0.00 16933.46 44424.99 47542.84 21.07 
2015 8 29 0 34 16     0.00 16933.22 44424.51 47542.31 21.07 
2015 8 29 0 34 23     0.00 16932.50 44424.99 47542.50 21.09 
2015 8 29 0 34 31     0.00 16932.74 44424.51 47542.14 21.08 
2015 8 29 0 34 39     0.00 16932.74 44423.79 47541.46 21.06 
2015 8 29 0 34 47     0.00 16932.74 44423.55 47541.24 21.04 
2015 8 29 0 34 55     0.00 16933.22 44423.55 47541.41 21.03 
2015 8 29 0 35 3     0.00 16933.22 44423.31 47541.19 21.05 
2015 8 29 0 35 11     0.00 16932.26 44423.31 47540.85 21.04 
2015 8 29 0 35 19     0.00 16932.26 44423.07 47540.62 21.06 
2015 8 29 0 35 27     0.00 16932.03 44422.83 47540.32 21.05 
2015 8 29 0 35 35     0.00 16931.79 44422.36 47539.78 21.06 
2015 8 29 0 35 42     0.00 16932.98 44422.83 47540.66 21.02 
2015 8 29 0 35 50     0.00 16933.70 44424.27 47542.25 21.03 
2015 8 29 0 35 58     0.00 16933.46 44422.83 47540.83 21.04 
2015 8 29 0 36 6     0.00 16934.42 44423.55 47541.84 21.07 
2015 8 29 0 36 14     0.00 16935.13 44424.03 47542.54 21.02 
2015 8 29 0 36 22     0.00 16934.42 44424.03 47542.28 21.04 
2015 8 29 0 36 30     0.00 16935.13 44423.07 47541.65 21.03 
2015 8 29 0 36 38     0.00 16935.61 44423.55 47542.26 21.04 
2015 8 29 0 36 46     0.00 16935.85 44423.79 47542.57 21.01 
2015 8 29 0 36 54     0.00 16937.29 44424.27 47543.53 21.06 
2015 8 29 0 37 2     0.00 16937.29 44424.03 47543.31 21.00 
2015 8 29 0 37 9     0.00 16937.52 44424.27 47543.62 21.01 
2015 8 29 0 37 17     0.00 16938.00 44424.03 47543.56 21.01 
2015 8 29 0 37 25     0.00 16937.52 44422.59 47542.05 21.01 
2015 8 29 0 37 33     0.00 16936.81 44423.07 47542.24 21.04 
2015 8 29 0 37 41     0.00 16937.05 44424.51 47543.67 21.05 
2015 8 29 0 37 49     0.00 16937.29 44424.27 47543.53 21.06 
2015 8 29 0 37 57     0.00 16939.20 44424.75 47544.66 21.07 
2015 8 29 0 38 5     0.00 16938.96 44425.22 47545.02 21.03 
2015 8 29 0 38 13     0.00 16939.20 44425.22 47545.11 21.03 
2015 8 29 0 38 21     0.00 16939.20 44424.75 47544.66 21.04 
2015 8 29 0 38 28     0.00 16938.96 44423.79 47543.68 21.05 
2015 8 29 0 38 36     0.00 16939.20 44423.79 47543.76 21.04 
2015 8 29 0 38 44     0.00 16939.44 44423.79 47543.85 21.02 
2015 8 29 0 38 52     0.00 16939.44 44424.99 47544.97 21.01 
2015 8 29 0 39 0     0.00 16940.87 44425.70 47546.15 21.00 
2015 8 29 0 39 8     0.00 16940.63 44425.70 47546.06 21.03 
2015 8 29 0 39 16     0.00 16940.87 44425.94 47546.37 21.08 
2015 8 29 0 39 24     0.00 16940.87 44424.27 47544.81 21.05 
2015 8 29 0 39 32     0.00 16940.87 44425.22 47545.70 21.06 
2015 8 29 0 39 40     0.00 16941.35 44424.75 47545.43 21.02 
2015 8 29 0 39 48     0.00 16940.87 44424.75 47545.25 21.00 
2015 8 29 0 39 55     0.00 16941.59 44425.70 47546.40 21.01 
2015 8 29 0 40 3     0.00 16942.55 44425.70 47546.74 21.03 
2015 8 29 0 40 11     0.00 16942.55 44426.18 47547.19 21.02 
2015 8 29 0 40 19     0.00 16942.55 44426.42 47547.42 21.06 
2015 8 29 0 40 27     0.00 16942.55 44426.42 47547.42 21.05 
2015 8 29 0 40 35     0.00 16942.07 44425.94 47546.80 21.03 
2015 8 29 0 40 43     0.00 16943.02 44425.46 47546.69 21.02 
2015 8 29 0 40 51     0.00 16943.02 44425.70 47546.92 21.09 
2015 8 29 0 40 59     0.00 16943.02 44424.99 47546.25 21.12 
2015 8 29 0 41 7     0.00 16943.50 44424.75 47546.19 21.07 
2015 8 29 0 41 14     0.00 16944.70 44424.99 47546.84 21.00 
2015 8 29 0 41 22     0.00 16944.70 44425.46 47547.29 20.96 
2015 8 29 0 41 30     0.00 16944.46 44425.46 47547.20 21.02 
2015 8 29 0 41 38     0.00 16943.74 44425.46 47546.95 20.98 
2015 8 29 0 41 46     0.00 16944.22 44425.22 47546.89 20.98 
2015 8 29 0 41 54     0.00 16944.70 44425.22 47547.06 20.99 
2015 8 29 0 42 2     0.00 16943.98 44425.70 47547.26 20.96 
2015 8 29 0 42 10     0.00 16944.22 44426.18 47547.79 20.96 
2015 8 29 0 42 18     0.00 16945.42 44426.42 47548.44 21.00 
2015 8 29 0 42 26     0.00 16945.65 44426.42 47548.52 21.01 
2015 8 29 0 42 34     0.00 16946.61 44425.70 47548.19 20.97 
2015 8 29 0 42 41     0.00 16947.33 44426.18 47548.90 20.95 
2015 8 29 0 42 49     0.00 16947.57 44425.94 47548.76 21.00 
2015 8 29 0 42 57     0.00 16948.05 44426.18 47549.15 20.98 
2015 8 29 0 43 5     0.00 16947.33 44426.42 47549.12 21.04 
2015 8 29 0 43 13     0.00 16947.09 44426.42 47549.03 21.04 
2015 8 29 0 43 21     0.00 16948.05 44426.66 47549.60 21.00 
2015 8 29 0 43 29     0.00 16947.81 44426.66 47549.51 21.01 
2015 8 29 0 43 37     0.00 16948.52 44426.42 47549.55 21.03 
2015 8 29 0 43 45     0.00 16948.29 44425.70 47548.79 21.00 
2015 8 29 0 43 53     0.00 16947.57 44426.18 47548.98 21.01 
2015 8 29 0 44 1     0.00 16948.05 44425.22 47548.26 21.00 
2015 8 29 0 44 8     0.00 16948.05 44425.94 47548.93 20.99 
2015 8 29 0 44 16     0.00 16947.09 44425.22 47547.92 21.02 
2015 8 29 0 44 24     0.00 16946.61 44425.94 47548.42 21.00 
2015 8 29 0 44 32     0.00 16946.85 44426.18 47548.73 20.96 
2015 8 29 0 44 40     0.00 16946.85 44425.70 47548.28 20.96 
2015 8 29 0 44 48     0.00 16946.13 44425.94 47548.25 20.97 
2015 8 29 0 44 56     0.00 16945.65 44425.46 47547.63 20.98 
2015 8 29 0 45 4     0.00 16946.13 44424.51 47546.91 20.97 
2015 8 29 0 45 12     0.00 16946.13 44425.22 47547.58 21.00 
2015 8 29 0 45 20     0.00 16945.42 44424.99 47547.10 20.97 
2015 8 29 0 45 28     0.00 16946.37 44424.51 47546.99 20.99 
2015 8 29 0 45 35     0.00 16946.13 44424.27 47546.68 21.02 
2015 8 29 0 45 43     0.00 16946.61 44423.79 47546.41 21.01 
2015 8 29 0 45 51     0.00 16946.37 44424.03 47546.54 21.01 
2015 8 29 0 45 59     0.00 16946.13 44423.07 47545.57 21.00 
2015 8 29 0 46 7     0.00 16945.89 44424.27 47546.60 20.99 
2015 8 29 0 46 15     0.00 16945.18 44424.27 47546.34 21.03 
2015 8 29 0 46 23     0.00 16944.70 44423.55 47545.50 21.06 
2015 8 29 0 46 31     0.00 16944.94 44422.59 47544.69 21.03 
2015 8 29 0 46 39     0.00 16944.70 44423.07 47545.05 21.02 
2015 8 29 0 46 47     0.00 16944.70 44422.36 47544.38 21.04 
2015 8 29 0 46 54     0.00 16943.50 44424.27 47545.75 21.09 
2015 8 29 0 47 2     0.00 16944.94 44423.31 47545.36 21.06 
2015 8 29 0 47 10     0.00 16944.46 44424.03 47545.86 21.04 
2015 8 29 0 47 18     0.00 16944.46 44422.83 47544.75 21.01 
2015 8 29 0 47 26     0.00 16943.74 44422.59 47544.27 21.02 
2015 8 29 0 47 34     0.00 16943.50 44423.55 47545.07 21.05 
2015 8 29 0 47 42     0.00 16943.02 44423.31 47544.68 21.02 
2015 8 29 0 47 50     0.00 16943.50 44423.07 47544.63 21.05 
2015 8 29 0 47 58     0.00 16942.79 44422.12 47543.48 21.05 
2015 8 29 0 48 6     0.00 16943.02 44422.36 47543.79 21.06 
2015 8 29 0 48 14     0.00 16942.55 44421.40 47542.72 21.04 
2015 8 29 0 48 21     0.00 16942.55 44420.68 47542.05 21.03 
2015 8 29 0 48 29     0.00 16942.79 44420.68 47542.14 21.05 
2015 8 29 0 48 37     0.00 16943.02 44419.96 47541.55 21.02 
2015 8 29 0 48 45     0.00 16942.31 44420.68 47541.97 21.03 
2015 8 29 0 48 53     0.00 16942.55 44421.16 47542.50 21.02 
2015 8 29 0 49 1     0.00 16942.79 44420.92 47542.36 21.02 
2015 8 29 0 49 9     0.00 16942.55 44420.68 47542.05 20.99 
2015 8 29 0 49 17     0.00 16942.79 44420.68 47542.14 21.00 
2015 8 29 0 49 25     0.00 16942.31 44420.68 47541.97 21.00 
2015 8 29 0 49 33     0.00 16941.59 44420.68 47541.71 20.96 
2015 8 29 0 49 40     0.00 16942.31 44419.49 47540.85 20.99 
